B19187499           5214201601297501022105283    10.20      1      0    16.00  0.00  0.00
B19187499           5214201601298430206280296   183.19      1      0    16.00  0.00  0.00
B19187499           521420160129 650240004292    14.83      2      0    16.00  0.00  0.00
B19187499           5214201601297501022150412    10.20      1      0    16.00  0.00  0.00
B19187499           5214201601297503013040207    36.09      1      0     0.00  0.00  0.00
B19187499           5214201601297501022101209    26.47      4      0    16.00  0.00  0.00
B19187499           5214201601297891024123485    39.05      1      0    16.00  0.00  0.00
B19187499           5214201601297896009490651    72.08      4      0    16.00  0.00  0.00
B19187499           521420160129 650240007408    42.69      2      0     0.00  0.00  0.00
B19187499           521420160129  37000394945    29.64      5      0    16.00  0.00  0.00
B19187499           521420160129 650240011177    76.91      2      0     0.00  0.00  0.00
B19187499           5214201601297501050614597    64.80      1      0     0.00  0.00  0.00
B19187499           521420160129 650240009556    66.98      1      0    16.00  0.00  0.00
B19187499           5214201601297501299301975    89.77      9      0     0.00  0.00  0.00
B19187499           521420160129 650240011139   215.96      1      0     0.00  0.00  0.00
B19187499           5214201601297501035911031    19.03      6      0    16.00  0.00  0.00
B19187499           521420160129 650240009549    66.98      1      0    16.00  0.00  0.00
B19187499           5214201601297501035911376    41.80      2      0    16.00  0.00  0.00
B19187499           5214201601297501035911017    27.25      4      0    16.00  0.00  0.00
B19187499           5214201601297501070637309   106.11      1      0    16.00  0.00  0.00
B19187499           521420160129 650240015670    66.98      1      0    16.00  0.00  0.00
B19187499           5214201601297509546009179    14.22      1      0    16.00  0.00  0.00
B19187499           5214201601297501037907124    94.48      1      0     0.00  0.00  0.00
B19187499           5214201601297509546000343    15.55      4      0    16.00  0.00  0.00
B19187499           5214201601297501035900264    20.43      2      0    16.00  0.00  0.00
B19187499           521420160129     75001872     9.59      1      0    16.00  0.00  0.00
B19187499           5214201601294042762016581   237.62      1      0    16.00  0.00  0.00
B19187499           5214201601297501035908253    28.01      2      0    16.00  0.00  0.00
B19187499           521420160129     75001865    16.16      1      0    16.00  0.00  0.00
B19187499           521420160129     75001858    23.11      1      0    16.00  0.00  0.00
B19187499           5214201601297501035908239    10.28      5      0    16.00  0.00  0.00
B19187500           5214201601297501022132623    45.06      1      0    16.00  0.00  0.00
B19187500           5214201601297501054503576    28.07      1      0    16.00  0.00  0.00
B19187500           5214201601297506309898889    34.30      2      0    16.00  0.00  0.00
B19187500           5214201601290037836040313    18.00      1      0    16.00  0.00  0.00
B19187500           521420160129 037836040320    18.00      1      0    16.00  0.00  0.00
B19187500           5214201601297501054500322    37.43      1      0    16.00  0.00  0.00
B19187500           5214201601294005808538553    51.54      1      0    16.00  0.00  0.00
B19187500           5214201601297501298219363    47.51      1      0     0.00  0.00  0.00
B19187500           5214201601297501089812124   106.27      1      0    16.00  0.00  0.00
B19187500           5214201601297501065045225    24.00      1      0    16.00  0.00  0.00
B19187500           521420160129 650240021138    33.70      2      0     0.00  0.00  0.00
B19187500           5214201601297501165008137    31.93      2      0    16.00  0.00  0.00
